Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Tamaulipas,Índice,43 Comercio al por mayor,102.4,101.3,104.7,103.8
Tamaulipas,Índice,46 Comercio al por menor,113.4,123.3,116.5,126.7
Tamaulipas,Variación anual del índice,43 Comercio al por mayor,3.6,-0.7,2.3,2.4
Tamaulipas,Variación anual del índice,46 Comercio al por menor,6.3,5.0,2.7,2.7
Tlaxcala,Índice,43 Comercio al por mayor,103.6,102.9,101.9,102.4
Tlaxcala,Índice,46 Comercio al por menor,112.2,122.3,114.6,124.9
Tlaxcala,Variación anual del índice,43 Comercio al por mayor,3.4,-0.5,-1.7,-0.5
Tlaxcala,Variación anual del índice,46 Comercio al por menor,7.7,5.7,2.1,2.1
Veracruz de Ignacio de la Llave,Índice,43 Comercio al por mayor,103.2,102.0,104.4,103.8
Veracruz de Ignacio de la Llave,Índice,46 Comercio al por menor,113.9,124.8,117.2,128.6
Veracruz de Ignacio de la Llave,Variación anual del índice,43 Comercio al por mayor,3.9,-0.4,1.2,1.7
Veracruz de Ignacio de la Llave,Variación anual del índice,46 Comercio al por menor,8.0,6.2,2.9,3.0
Yucatán,Índice,43 Comercio al por mayor,100.8,98.7,103.5,102.5
Yucatán,Índice,46 Comercio al por menor,113.6,124.2,117.1,127.3
Yucatán,Variación anual del índice,43 Comercio al por mayor,1.6,-3.7,2.7,3.8
Yucatán,Variación anual del índice,46 Comercio al por menor,7.2,5.0,3.2,2.5
Zacatecas,Índice,43 Comercio al por mayor,102.7,103.9,105.4,105.0
Zacatecas,Índice,46 Comercio al por menor,112.0,120.8,113.7,122.2
Zacatecas,Variación anual del índice,43 Comercio al por mayor,2.0,0.1,2.6,1.1
Zacatecas,Variación anual del índice,46 Comercio al por menor,5.5,4.0,1.6,1.2
