Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Colima,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Colima,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Colima,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Colima,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Colima,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Colima,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,27.2,10.3,-17.8,-16.1
Chiapas,Índice,51 Información en medios masivos,56.9,67.3,62.0,62.7
Chiapas,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Chiapas,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Chiapas,Índice,61 Servicios educativos,ND,ND,ND,ND
Chiapas,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Chiapas,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Chiapas,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,63.9,65.3,69.2,83.1
Chiapas,Variación anual del índice,51 Información en medios masivos,19.3,84.0,9.0,-6.8
Chiapas,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Chiapas,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Chiapas,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Chiapas,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Chiapas,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Chiapas,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-12.0,-37.1,8.4,27.2
Chihuahua,Índice,51 Información en medios masivos,129.6,129.3,143.1,146.7
Chihuahua,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Chihuahua,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Chihuahua,Índice,61 Servicios educativos,ND,ND,ND,ND
Chihuahua,Índice,62 Servicios de salud y de asistencia social,108.5,118.3,112.5,102.5
Chihuahua,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Chihuahua,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,125.5,133.4,153.5,158.4
Chihuahua,Variación anual del índice,51 Información en medios masivos,36.8,76.6,10.4,13.4
Chihuahua,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Chihuahua,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Chihuahua,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Chihuahua,Variación anual del índice,62 Servicios de salud y de asistencia social,-4.5,11.1,3.7,-13.4
Chihuahua,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Chihuahua,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,39.7,48.4,22.3,18.8
Ciudad de México,Índice,51 Información en medios masivos,141.1,143.2,142.5,144.7
Ciudad de México,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,121.1,121.0,126.2,131.5
Ciudad de México,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Ciudad de México,Índice,61 Servicios educativos,ND,ND,ND,ND
Ciudad de México,Índice,62 Servicios de salud y de asistencia social,104.9,111.9,111.0,115.8
Ciudad de México,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",119.8,113.7,137.0,136.0
Ciudad de México,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,89.9,90.4,92.1,94.3
Ciudad de México,Variación anual del índice,51 Información en medios masivos,31.9,13.2,1.0,1.0
Ciudad de México,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8.8,57.9,4.3,8.6
Ciudad de México,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Ciudad de México,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Ciudad de México,Variación anual del índice,62 Servicios de salud y de asistencia social,-4.8,7.1,5.7,3.6
Ciudad de México,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",84.9,68.0,14.4,19.6
Ciudad de México,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,43.8,-15.3,2.5,4.3
Durango,Índice,51 Información en medios masivos,58.0,65.0,73.4,69.7
Durango,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Durango,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Durango,Índice,61 Servicios educativos,ND,ND,ND,ND
Durango,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Durango,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Durango,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,66.9,64.5,43.0,42.2
Durango,Variación anual del índice,51 Información en medios masivos,4.1,18.9,26.6,7.2
